block,block,composition,plot,treatment,month,temp,vwc,,,,,,,,
,4,bahia,12_B,cut+manure,april,18.0,10.1,,,,,,,,
,4,bahia,12_C,cut,april,18.0,10.5,,,,,,,,
,5,mixed,13_A,cut,april,16.7,8.8,,,,,,,,
,5,mixed,13_B,cut+manure,april,16.8,8.9,,,,,,,,
,5,mixed,13_C,control,april,16.7,10.1,,,,,,,,
,5,mixed,14_A,control,april,16.5,6.7,,,,,,,,
,5,mixed,14_B,cut+manure,april,16.8,7.9,,,,,,,,
,5,mixed,14_C,cut,april,17.0,7.8,,,,,,,,
,5,mixed,15_A,control,april,16.6,5.6,,,,,,,,
,5,mixed,15_B,cut,april,16.7,6.4,,,,,,,,
,5,mixed,15_C,cut+manure,april,17.3,6.4,,,,,,,,
,6,mixed,16_A,control,april,17.5,6.9,,,,,,,,
,6,mixed,16_B,cut+manure,april,17.6,11.2,,,,,,,,
,6,mixed,16_C,cut,april,17.6,8.6,,,,,,,,
,6,mixed,17_A,cut+manure,april,16.7,8.1,,,,,,,,
,6,mixed,17_B,control,april,17.1,8.8,,,,,,,,
,6,mixed,17_C,cut,april,18.1,8.8,,,,,,,,
,6,mixed,18_A,cut+manure,april,17.5,9.1,,,,,,,,
,6,mixed,18_B,control,april,17.7,7.6,,,,,,,,
,6,mixed,18_C,cut,april,17.8,9.8,,,,,,,,
,7,mixed,19_A,cut+manure,april,17.4,8.9,,,,,,,,
,7,mixed,19_B,control,april,17.3,9.7,,,,,,,,
,7,mixed,19_C,cut,april,17.7,9.7,,,,,,,,
,7,mixed,20_A,control,april,18.0,6.7,,,,,,,,
,7,mixed,20_B,cut,april,18.1,8.5,,,,,,,,
,7,mixed,20_C,cut+manure,april,18.8,9.3,,,,,,,,
,7,mixed,21_A,cut,april,18.1,10.9,,,,,,,,
,7,mixed,21_B,cut+manure,april,18.4,9.5,,,,,,,,
,7,mixed,21_C,control,april,18.3,9.7,,,,,,,,
,8,bahia,22_A,cut,april,18.7,5.7,,,,,,,,
,8,bahia,22_B,control,april,18.7,9.7,,,,,,,,
,8,bahia,22_C,cut+manure,april,18.7,12.2,,,,,,,,
,8,bahia,23_A,cut+manure,april,17.9,8.6,,,,,,,,
,8,bahia,23_B,control,april,17.3,8.1,,,,,,,,
,8,bahia,23_C,cut,april,18.0,9.3,,,,,,,,
,8,bahia,24_A,cut+manure,april,17.5,7.6,,,,,,,,
,8,bahia,24_B,cut,april,18.0,8.9,,,,,,,,
,8,bahia,24_C,control,april,18.3,6.1,,,,,,,,
,1,bahia,1_A,cut+manure,may,23.2,6.2,,,,,,,,
,1,bahia,1_B,control,may,23.2,5.4,,,,,,,,
,1,bahia,1_C,cut,may,24.1,5.7,,,,,,,,
,1,bahia,2_A,control,may,23.8,5.4,,,,,,,,
,1,bahia,2_B,cut,may,23.8,5.0,,,,,,,,
,1,bahia,2_C,cut+manure,may,24.1,4.8,,,,,,,,
,1,bahia,3_A,cut,may,24.1,3.8,,,,,,,,
,1,bahia,3_B,cut+manure,may,24.2,4.6,,,,,,,,
,1,bahia,3_C,control,may,23.7,5.3,,,,,,,,
,2,mixed,4_A,cut,may,23.8,5.5,,,,,,,,
,2,mixed,4_B,control,may,23.7,4.9,,,,,,,,
,2,mixed,4_C,cut+manure,may,23.6,6.8,,,,,,,,
,2,mixed,5_A,cut+manure,may,23.2,2.8,,,,,,,,
,2,mixed,5_B,cut,may,22.8,4.8,,,,,,,,
,2,mixed,5_C,control,may,22.6,4.1,,,,,,,,
,2,mixed,6_A,cut,may,23.2,4.1,,,,,,,,
,2,mixed,6_B,cut+manure,may,23.2,4.2,,,,,,,,
,2,mixed,6_C,control,may,22.3,5.1,,,,,,,,
,3,mixed,7_A,cut,may,23.8,5.6,,,,,,,,
,3,mixed,7_B,cut+manure,may,23.2,4.7,,,,,,,,
,3,mixed,7_C,control,may,23.2,4.1,,,,,,,,
,3,mixed,8_A,cut+manure,may,23.0,4.1,,,,,,,,
,3,mixed,8_B,control,may,23.2,4.4,,,,,,,,
,3,mixed,8_C,cut,may,23.7,4.8,,,,,,,,
,3,mixed,9_A,cut+manure,may,23.3,4.2,,,,,,,,
,3,mixed,9_B,cut,may,23.6,3.9,,,,,,,,
,3,mixed,9_C,control,may,23.1,5.3,,,,,,,,
,4,bahia,10_A,cut+manure,may,24.2,6.7,,,,,,,,
,4,bahia,10_B,control,may,22.7,4.9,,,,,,,,
,4,bahia,10_C,cut,may,23.5,4.3,,,,,,,,
,4,bahia,11_A,cut+manure,may,23.3,6.9,,,,,,,,
,4,bahia,11_B,control,may,22.5,5.2,,,,,,,,
,4,bahia,11_C,cut,may,23.3,7.3,,,,,,,,
,4,bahia,12_A,control,may,22.2,4.8,,,,,,,,
,4,bahia,12_B,cut+manure,may,23.0,4.5,,,,,,,,
,4,bahia,12_C,cut,may,23.4,5.0,,,,,,,,
,5,mixed,13_A,cut,may,21.2,4.1,,,,,,,,
,5,mixed,13_B,cut+manure,may,21.0,4.1,,,,,,,,
,5,mixed,13_C,control,may,21.1,5.8,,,,,,,,
,5,mixed,14_A,control,may,20.8,3.2,,,,,,,,
,5,mixed,14_B,cut+manure,may,21.5,3.6,,,,,,,,
,5,mixed,14_C,cut,may,21.2,3.5,,,,,,,,
,5,mixed,15_A,control,may,20.6,3.6,,,,,,,,
,5,mixed,15_B,cut,may,21.2,3.9,,,,,,,,
,5,mixed,15_C,cut+manure,may,21.2,3.5,,,,,,,,
,6,mixed,16_A,control,may,20.8,3.9,,,,,,,,
,6,mixed,16_B,cut+manure,may,21.9,6.6,,,,,,,,
,6,mixed,16_C,cut,may,22.3,4.2,,,,,,,,
,6,mixed,17_A,cut+manure,may,21.7,4.9,,,,,,,,
,6,mixed,17_B,control,may,22.1,5.2,,,,,,,,
,6,mixed,17_C,cut,may,23.5,3.9,,,,,,,,
,6,mixed,18_A,cut+manure,may,22.8,5.1,,,,,,,,
,6,mixed,18_B,control,may,22.8,4.3,,,,,,,,
,6,mixed,18_C,cut,may,23.6,5.6,,,,,,,,
,7,mixed,19_A,cut+manure,may,22.5,5.2,,,,,,,,
,7,mixed,19_B,control,may,22.7,6.0,,,,,,,,
,7,mixed,19_C,cut,may,22.7,6.2,,,,,,,,
,7,mixed,20_A,control,may,23.1,3.7,,,,,,,,
,7,mixed,20_B,cut,may,23.8,4.8,,,,,,,,
,7,mixed,20_C,cut+manure,may,24.1,4.9,,,,,,,,
,7,mixed,21_A,cut,may,23.1,6.1,,,,,,,,
,7,mixed,21_B,cut+manure,may,24.1,4.8,,,,,,,,
,7,mixed,21_C,control,may,23.2,5.2,,,,,,,,
,8,bahia,22_A,cut,may,24.0,3.1,,,,,,,,
,8,bahia,22_B,control,may,23.6,4.9,,,,,,,,
,8,bahia,22_C,cut+manure,may,24.0,6.1,,,,,,,,
,8,bahia,23_A,cut+manure,may,23.1,0.3,,,,,,,,
,8,bahia,23_B,control,may,23.5,0.9,,,,,,,,
,8,bahia,23_C,cut,may,23.5,3.8,,,,,,,,
,8,bahia,24_A,cut+manure,may,23.0,3.4,,,,,,,,
,8,bahia,24_B,cut,may,23.0,3.8,,,,,,,,
,8,bahia,24_C,control,may,23.0,3.3,,,,,,,,
,1,bahia,1_A,cut+manure,june,26.1,0.9,,,,,,,,
,1,bahia,1_B,control,june,26.1,1.1,,,,,,,,
,1,bahia,1_C,cut,june,26.3,0.8,,,,,,,,
,1,bahia,2_A,control,june,26.5,0.7,,,,,,,,
,1,bahia,2_B,cut,june,26.6,0.8,,,,,,,,
,1,bahia,2_C,cut+manure,june,26.9,0.6,,,,,,,,
,1,bahia,3_A,cut,june,26.7,0.1,,,,,,,,
,1,bahia,3_B,cut+manure,june,26.6,0,,,,,,,,
,1,bahia,3_C,control,june,26.6,0.7,,,,,,,,
,2,mixed,4_A,cut,june,26.1,0.8,,,,,,,,
,2,mixed,4_B,control,june,25.8,1.9,,,,,,,,
,2,mixed,4_C,cut+manure,june,26.6,1.3,,,,,,,,
,2,mixed,5_A,cut+manure,june,26.5,0.5,,,,,,,,
,2,mixed,5_B,cut,june,26,0.4,,,,,,,,
,2,mixed,5_C,control,june,26.7,0.6,,,,,,,,
,2,mixed,6_A,cut,june,26.7,0.9,,,,,,,,
,2,mixed,6_B,cut+manure,june,26.9,0.4,,,,,,,,
,2,mixed,6_C,control,june,26.6,0.9,,,,,,,,
,3,mixed,7_A,cut,june,27.3,0.9,,,,,,,,
,3,mixed,7_B,cut+manure,june,27.2,0.8,,,,,,,,
,3,mixed,7_C,control,june,27.2,0.4,,,,,,,,
,3,mixed,8_A,cut+manure,june,26.6,0.2,,,,,,,,
,3,mixed,8_B,control,june,26.8,0.7,,,,,,,,
,3,mixed,8_C,cut,june,27.2,0.8,,,,,,,,
,3,mixed,9_A,cut+manure,june,27.5,0.1,,,,,,,,
,3,mixed,9_B,cut,june,27.7,0.6,,,,,,,,
,3,mixed,9_C,control,june,27.7,0.5,,,,,,,,
,4,bahia,10_A,cut+manure,june,27.8,0.5,,,,,,,,
,4,bahia,10_B,control,june,27.2,0.2,,,,,,,,
,4,bahia,10_C,cut,june,27.6,0,,,,,,,,
,4,bahia,11_A,cut+manure,june,27,0.7,,,,,,,,
,4,bahia,11_B,control,june,27,0.9,,,,,,,,
,4,bahia,11_C,cut,june,27.3,0.7,,,,,,,,
,4,bahia,12_A,control,june,26.5,0.5,,,,,,,,
,4,bahia,12_B,cut+manure,june,26.7,0.4,,,,,,,,
,4,bahia,12_C,cut,june,26.7,0.2,,,,,,,,
,5,mixed,13_A,cut,june,28.2,0.5,,,,,,,,
,5,mixed,13_B,cut+manure,june,28.3,0.8,,,,,,,,
,5,mixed,13_C,control,june,28.3,0.8,,,,,,,,
,5,mixed,14_A,control,june,28.7,0.4,,,,,,,,
,5,mixed,14_B,cut+manure,june,28.4,0.5,,,,,,,,
,5,mixed,14_C,cut,june,28.6,0.4,,,,,,,,
,5,mixed,15_A,control,june,28.5,0.2,,,,,,,,
,5,mixed,15_B,cut,june,28.9,0.4,,,,,,,,
,5,mixed,15_C,cut+manure,june,28.8,0.2,,,,,,,,
,6,mixed,16_A,control,june,27.7,1.3,,,,,,,,
,6,mixed,16_B,cut+manure,june,28.8,0.8,,,,,,,,
,6,mixed,16_C,cut,june,28.8,0.2,,,,,,,,
,6,mixed,17_A,cut+manure,june,27.9,0.4,,,,,,,,
,6,mixed,17_B,control,june,27.3,0.2,,,,,,,,
,6,mixed,17_C,cut,june,28.3,0.4,,,,,,,,
,6,mixed,18_A,cut+manure,june,28.3,0.6,,,,,,,,
,6,mixed,18_B,control,june,28,0.6,,,,,,,,
,6,mixed,18_C,cut,june,28.5,0.6,,,,,,,,
,7,mixed,19_A,cut+manure,june,28.7,0.2,,,,,,,,
,7,mixed,19_B,control,june,27.2,0.8,,,,,,,,
,7,mixed,19_C,cut,june,28.3,0.1,,,,,,,,
,7,mixed,20_A,control,june,27.6,0.4,,,,,,,,
,7,mixed,20_B,cut,june,27.9,0.8,,,,,,,,
,7,mixed,20_C,cut+manure,june,28.4,0.1,,,,,,,,
,7,mixed,21_A,cut,june,28.3,0.9,,,,,,,,
,7,mixed,21_B,cut+manure,june,28.3,0.2,,,,,,,,
,7,mixed,21_C,control,june,27.8,0.6,,,,,,,,
,8,bahia,22_A,cut,june,27.6,0.6,,,,,,,,
,8,bahia,22_B,control,june,27.1,0.4,,,,,,,,
,8,bahia,22_C,cut+manure,june,27.4,0.6,,,,,,,,
,8,bahia,23_A,cut+manure,june,28.3,0.2,,,,,,,,
,8,bahia,23_B,control,june,28.1,0,,,,,,,,
,8,bahia,23_C,cut,june,27.6,0.3,,,,,,,,
,8,bahia,24_A,cut+manure,june,27.5,0.6,,,,,,,,
,8,bahia,24_B,cut,june,27.1,0.6,,,,,,,,
,8,bahia,24_C,control,june,26.7,0.3,,,,,,,,
,1,bahia,1_A,cut+manure,july,27.7,1.4,,,,,,,,
,1,bahia,1_B,control,july,27.8,1.7,,,,,,,,
,1,bahia,1_C,cut,july,27.9,1.7,,,,,,,,
,1,bahia,2_A,control,july,27.8,1.3,,,,,,,,
,1,bahia,2_B,cut,july,27.9,1.2,,,,,,,,
,1,bahia,2_C,cut+manure,july,28.2,1.6,,,,,,,,
,1,bahia,3_A,cut,july,28.2,0.8,,,,,,,,
,1,bahia,3_B,cut+manure,july,28.3,0.2,,,,,,,,
,1,bahia,3_C,control,july,28.1,1.4,,,,,,,,
,2,mixed,4_A,cut,july,27.6,1.9,,,,,,,,
,2,mixed,4_B,control,july,27.6,1.7,,,,,,,,
,2,mixed,4_C,cut+manure,july,27.5,1.8,,,,,,,,
,2,mixed,5_A,cut+manure,july,27.3,1.3,,,,,,,,
,2,mixed,5_B,cut,july,27.2,0.7,,,,,,,,
,2,mixed,5_C,control,july,27.7,0.9,,,,,,,,
,2,mixed,6_A,cut,july,27.7,1.6,,,,,,,,
,2,mixed,6_B,cut+manure,july,27.5,1,,,,,,,,
,2,mixed,6_C,control,july,27.8,1.5,,,,,,,,
,3,mixed,7_A,cut,july,28.1,1.3,,,,,,,,
,3,mixed,7_B,cut+manure,july,27.8,1.5,,,,,,,,
,3,mixed,7_C,control,july,27.8,1.1,,,,,,,,
,3,mixed,8_A,cut+manure,july,27.8,0.9,,,,,,,,
,3,mixed,8_B,control,july,28.1,1.1,,,,,,,,
,3,mixed,8_C,cut,july,28.2,1.1,,,,,,,,
,3,mixed,9_A,cut+manure,july,28,1.4,,,,,,,,
,3,mixed,9_B,cut,july,27.7,1.5,,,,,,,,
,3,mixed,9_C,control,july,27.7,1.5,,,,,,,,
,4,bahia,10_A,cut+manure,july,28.3,1.4,,,,,,,,
,4,bahia,10_B,control,july,28.1,0.3,,,,,,,,
,4,bahia,10_C,cut,july,28.7,0.2,,,,,,,,
,4,bahia,11_A,cut+manure,july,28.1,1.6,,,,,,,,
,4,bahia,11_B,control,july,28.2,1.8,,,,,,,,
,4,bahia,11_C,cut,july,28.3,1.7,,,,,,,,
,4,bahia,12_A,control,july,27.8,1,,,,,,,,
,4,bahia,12_B,cut+manure,july,28,0.8,,,,,,,,
,4,bahia,12_C,cut,july,28.2,0.8,,,,,,,,
,5,mixed,13_A,cut,july,27,1.1,,,,,,,,
,5,mixed,13_B,cut+manure,july,26.7,0.5,,,,,,,,
,5,mixed,13_C,control,july,27.1,1.3,,,,,,,,
,5,mixed,14_A,control,july,27,0.4,,,,,,,,
,5,mixed,14_B,cut+manure,july,27.2,1.3,,,,,,,,
,5,mixed,14_C,cut,july,27.6,0.8,,,,,,,,
,5,mixed,15_A,control,july,27,0.8,,,,,,,,
,5,mixed,15_B,cut,july,26.8,0.9,,,,,,,,
,5,mixed,15_C,cut+manure,july,27.2,1.3,,,,,,,,
,6,mixed,16_A,control,july,27.8,1,,,,,,,,
,6,mixed,16_B,cut+manure,july,28.2,1.4,,,,,,,,
,6,mixed,16_C,cut,july,28,0.3,,,,,,,,
,6,mixed,17_A,cut+manure,july,27.6,0.9,,,,,,,,
,6,mixed,17_B,control,july,27.8,1,,,,,,,,
,6,mixed,17_C,cut,july,28,1.2,,,,,,,,
,6,mixed,18_A,cut+manure,july,27.8,0.8,,,,,,,,
,6,mixed,18_B,control,july,27.8,0.9,,,,,,,,
,6,mixed,18_C,cut,july,27.8,1.2,,,,,,,,
,7,mixed,19_A,cut+manure,july,28.2,0.8,,,,,,,,
,7,mixed,19_B,control,july,27.6,1.5,,,,,,,,
,7,mixed,19_C,cut,july,28,1.2,,,,,,,,
,7,mixed,20_A,control,july,27.7,1.1,,,,,,,,
,7,mixed,20_B,cut,july,28.1,0.9,,,,,,,,
,7,mixed,20_C,cut+manure,july,28.2,0.2,,,,,,,,
,7,mixed,21_A,cut,july,27.8,1.3,,,,,,,,
,7,mixed,21_B,cut+manure,july,27.7,0.7,,,,,,,,
,7,mixed,21_C,control,july,27.7,0.9,,,,,,,,
,8,bahia,22_A,cut,july,27.6,0.4,,,,,,,,
,8,bahia,22_B,control,july,27.3,0.9,,,,,,,,
,8,bahia,22_C,cut+manure,july,27.6,1.9,,,,,,,,
,8,bahia,23_A,cut+manure,july,27.3,0.6,,,,,,,,
,8,bahia,23_B,control,july,27.2,0.3,,,,,,,,
,8,bahia,23_C,cut,july,27.3,0.5,,,,,,,,
,8,bahia,24_A,cut+manure,july,27.5,0.8,,,,,,,,
,8,bahia,24_B,cut,july,27.4,0.4,,,,,,,,
,8,bahia,24_C,control,july,27.6,0.6,,,,,,,,
,1,bahia,1_A,cut+manure,aug,25.7,2.6,,,,,,,,
,1,bahia,1_B,control,aug,26,3.1,,,,,,,,
,1,bahia,1_C,cut,aug,26.1,3.3,,,,,,,,
,1,bahia,2_A,control,aug,25.8,3.9,,,,,,,,
,1,bahia,2_B,cut,aug,26.2,2.9,,,,,,,,
,1,bahia,2_C,cut+manure,aug,26.1,2.8,,,,,,,,
,1,bahia,3_A,cut,aug,26.3,1.6,,,,,,,,
,1,bahia,3_B,cut+manure,aug,26.3,2.1,,,,,,,,
,1,bahia,3_C,control,aug,26.2,2.1,,,,,,,,
,2,mixed,4_A,cut,aug,26,3,,,,,,,,
,2,mixed,4_B,control,aug,25.7,3.4,,,,,,,,
,2,mixed,4_C,cut+manure,aug,26,3.9,,,,,,,,
,2,mixed,5_A,cut+manure,aug,25.6,3.2,,,,,,,,
,2,mixed,5_B,cut,aug,25.7,3.1,,,,,,,,
,2,mixed,5_C,control,aug,26.1,2.2,,,,,,,,
,2,mixed,6_A,cut,aug,26,2.8,,,,,,,,
,2,mixed,6_B,cut+manure,aug,25.9,2.5,,,,,,,,
,2,mixed,6_C,control,aug,26.2,3.2,,,,,,,,
,3,mixed,7_A,cut,aug,26.1,3.7,,,,,,,,
,3,mixed,7_B,cut+manure,aug,26,3.3,,,,,,,,
,3,mixed,7_C,control,aug,25.7,1.5,,,,,,,,
,3,mixed,8_A,cut+manure,aug,26,3.6,,,,,,,,
,3,mixed,8_B,control,aug,26.2,2.6,,,,,,,,
,3,mixed,8_C,cut,aug,26.5,3.6,,,,,,,,
,3,mixed,9_A,cut+manure,aug,26.5,3.2,,,,,,,,
,3,mixed,9_B,cut,aug,26,2.5,,,,,,,,
,3,mixed,9_C,control,aug,26,2.8,,,,,,,,
,4,bahia,10_A,cut+manure,aug,26.4,3.8,,,,,,,,
,4,bahia,10_B,control,aug,26.2,4.2,,,,,,,,
,4,bahia,10_C,cut,aug,26.6,2.6,,,,,,,,
,4,bahia,11_A,cut+manure,aug,26.2,6.1,,,,,,,,
,4,bahia,11_B,control,aug,26.2,4.7,,,,,,,,
,4,bahia,11_C,cut,aug,26.5,5.3,,,,,,,,
,4,bahia,12_A,control,aug,26.2,3.3,,,,,,,,
,4,bahia,12_B,cut+manure,aug,26.5,3.1,,,,,,,,
,4,bahia,12_C,cut,aug,26.6,3.8,,,,,,,,
,5,mixed,13_A,cut,aug,26.6,3.3,,,,,,,,
,5,mixed,13_B,cut+manure,aug,26.5,1.9,,,,,,,,
,5,mixed,13_C,control,aug,26.6,2.6,,,,,,,,
,5,mixed,14_A,control,aug,26.5,2.7,,,,,,,,
,5,mixed,14_B,cut+manure,aug,26.6,2.3,,,,,,,,
,5,mixed,14_C,cut,aug,26.6,2.2,,,,,,,,
,5,mixed,15_A,control,aug,26.2,2.2,,,,,,,,
,5,mixed,15_B,cut,aug,26,2.6,,,,,,,,
,5,mixed,15_C,cut+manure,aug,26,2.5,,,,,,,,
,6,mixed,16_A,control,aug,27.1,1.9,,,,,,,,
,6,mixed,16_B,cut+manure,aug,27.5,3.8,,,,,,,,
,6,mixed,16_C,cut,aug,27.2,3.3,,,,,,,,
,6,mixed,17_A,cut+manure,aug,26.8,3.1,,,,,,,,
,6,mixed,17_B,control,aug,26.9,2.5,,,,,,,,
,6,mixed,17_C,cut,aug,27,2.7,,,,,,,,
,6,mixed,18_A,cut+manure,aug,27.3,3.3,,,,,,,,
,6,mixed,18_B,control,aug,27.1,2.8,,,,,,,,
,6,mixed,18_C,cut,aug,27.2,2.2,,,,,,,,
,7,mixed,19_A,cut+manure,aug,27.2,2.5,,,,,,,,
,7,mixed,19_B,control,aug,27,3.2,,,,,,,,
,7,mixed,19_C,cut,aug,27.1,3.4,,,,,,,,
,7,mixed,20_A,control,aug,26.9,1.8,,,,,,,,
,7,mixed,20_B,cut,aug,27.2,3.9,,,,,,,,
,7,mixed,20_C,cut+manure,aug,27.3,3.1,,,,,,,,
,7,mixed,21_A,cut,aug,26.8,4,,,,,,,,
,7,mixed,21_B,cut+manure,aug,26.6,2.3,,,,,,,,
,7,mixed,21_C,control,aug,26.6,2.9,,,,,,,,
,8,bahia,22_A,cut,aug,26.6,2.6,,,,,,,,
